School Name,Address,Website,City,Category,Gender,Principal,Founded,Affiliation,Web Url,Fees,Revenue,Mobile/Contact Number,Principal/Heigher Mgm. Emails,Emails,Other Higher Mgm. Email,Other Email,Other Email.1,Contact number,Contact number.1,Contact number.2,Merged_Unnamed,,,
Springer Public School,"B-3, Patparganj Industrial Area, Gorakhnath, Gorakhpur, Uttar Pradesh 273015",http://www.springerpublicschool.org/,,School,,Sangita Prasad,1992,,,,,078970 12434,dr1975@gmail.com,singh10@gmail.com,springerallahabad@gmail.com,springerpublicschool@gmail.com,springerhelpdesk@gmail.com,9453925170,7054297285,8172929037,,,,
Springs International School,"Tana, Nilambur, Kerala 676542",http://www.thespringsschool.in/,Kerala,International School,,Dr. Anas Nilambur,,,,"2.5 crore, 8 lakh",,081295 95858,"dr.nagarajan@gmail.com, mathew1971@gmail.com",ashutosh17@gmail.com,mail@thespringsschool.in,principal@thespringsschool.in,career@thespringsschool.in,8129595858,7891011121,7181920212,,,,
Sree Ayyappa Public School,"near Ayyappa Temple, Sector V-D, Sector 3, Bokaro Steel City, Jharkhand 827006",http://ayyappaschool.in/,Jharkhand,"School, Private School, CBSE School",,Dr. Letha Mohanan,1988,Central Board of Secondary Education,ayyappaschool.com,"3 crore, 4 crore",,092343 00650,"peterfr@gmail.com, samita14@yahoo.com, samarjit15@gmail.com, bkissar1969@gmail.com","archanasinha@gmail.com, dr.dadasaheb@gmail.com, pranali13@gmail.com, kahlonsandy@gmail.com",bko_aps5@rediffmail.com,"principal@ayyappaschool.in, info@ayyappaschool.in","fees@ayyappaschool.in, principal@ayyappachool.in","9234300650, 9234460605",,,,,,
Sri Aurobindo Memorial School,"13-A Main, 22nd Cross, Banashankari II Stage, Bengaluru, Karnataka 560070",http://www.sriaurobindomemorialschool.in/index.html,Bangalore,"CBSE School, School",,Smt. Anuradha Kumar,1962,,,,,080 2671 7777,"davidluke@yahoo.com, shaju1972@gmail.com","dilip8@gmail.com, subhash16@gmail.com",rama_dumdum@yahoo.com,samsevents62@gmail.com,"sri_aurobindo@vsnl.com, principal_aurobindo@rediffmail.com",9836871371,9062088228,9241743252,,,,
Sri Siddhartha Institute Of Technology,"Tumkur-Kunigal Rd, Saraswathipuram, Tumakuru, Karnataka 572105",http://www.ssit.edu.in/,,School,,Ravi prakash,1979,Sri Siddhartha Academy of Higher Education,,,,0816 220 0314,rahmananisur@gmail.com,tiwari.bsc@gmail.com,principal@ssit.edu.in,principal@ssit,,9844127487,9844782445,,,,,
St Albert’s College (Autonomous),"Banerjee Road Ernakulam, Kochi, Kerala 682018",https://alberts.edu.in/,,School,,Nelson Rodriguez,16 July 1946,,,,,0484 239 4225,er.anju@rediff.com,narendra.msc@gmail.com,mail@alberts.edu.in,admission@alberts.edu.in,principal@alberts.edu.in,8330887772,office@alberts.edu.in,,,,,
St Ann's High School,"12-5-3/1, Tarnaka Main Rd, Doctor ZMES Society, Vijayapuri Colony, Mettuguda, Secunderabad, Telangana 500017",http://www.stanns.in/,Telangana,"CBSE School, ICSE School, Board School",,Sr. Antonia,,,,"2.5 crore, 4 crore, 7 crore",,040 2701 9267,"tindale1985@gmail.com, tindale2@gmail.com","vijayrao19@gmail.com, abhishek20@gmail.com","info@stannehighschool.org, sativim@rediffmail.com","info@sahsjc.org, st.annspublicschool@gmail.com","sativim@rediffmail.com, principal@parishofsaintann.org",+91-9527130207,"7488073009, 9322458525",9860289471,"9308785742, 919334081560",,,
St Francis School,"BJP Office, NH 75 Near, Harmu Housing Colony, Argora, Ranchi, Jharkhand 834012",http://www.stfrancisranchi.in/,Jharkhand,"School, Kids School, CBSE School, ICSE School, IB school",,Fr. Manoj Kullu,,,,"1/2 crore, 2.5 crore, 1804 crore, 3 crore",,0651 224 6549,"riasister@gmail.com, singh13@yahoo.com, ac1976@gmail.com, roy1975@gmail.com, munmun.msc@gmail.com","asawariabhyankar@gmail.com, barmukh6@gmail.com, dipika.phd@gmail.com, dr.vijaya@gmail.com, dr.sujata@gmail.com",julgeo53@yahoo.com,mail@sfsdelhi.com,contact@stfrancislko.org,8858079997,+91 - 9839818765,,,,,
St George's Academy,"W Gate, Sleaford NG34 7PP, United Kingdom",http://www.st-georges-academy.org/,,School,,Laranya Caslin,1 January 2010,,,,,+44 1529 302487,frhilarydsouza@gmail.com,msc.sonia@gmail.com,stga@st-georges-academy.org,help@st-georges-academy.org,pastoral@st-georges-academy.org,finance@st-georges-academy.org,jobs@st-georges-academy.org,support@st-georges-academy.org,,,,
St Joseph's School,"Pocket-D, Sector-Alpha - I, Gautam Budh Nagar, Greater Noida, Uttar Pradesh 201308",http://www.stjosephsgn.com/,Uttar Pradesh,"Kids School, ICSE School",,Fr. Alwyn Pinto,,,,"5 crore, 1/2 crore",,098186 63851,"rajeshwarims@hotmail.com, rev1971@gmail.com","phd.tiwari@gmail.com, shashikala8@gmail.com",4287332principal@stjosephsgn.com,contact@stjosephsgn.com,principal@stjosephsgn.com,+91-9818663851,,,,,,
St Joseph's college jakhama,"Jakhama road, Kohima, Nagaland 797001",http://stjosephjakhama.ac.in/,Nagaland,"Play School, Private School, ICSE School, International School",,Rev. Fr. Dr. Sebastian Ousepparampil,,,,"2 crore, 2564 crore, 4 crore, 2.5 crore",,0370 223 1009,"arun1973@gmail.com, amitabh.phd@hotmail.com, drsamir@rediff.com, nilakanthapanigrahi@rediff.com","mahadev12@gmail.com, adkine7@gmail.com, amit.phd@gmail.com, giridhar18@gmail.com",stjosephc@gmail.com,wsyiemlieh@gmail.com,rho4@gmail.com,8974898569,8732885844,8732837725,,,,
St Mary's Academy,"Cariappa Rd, Meerut Cantt, Meerut, Uttar Pradesh 250001",http://stmarysmeerut.com/home.php,"Uttar Pradesh, Meerut","Private School, ICSE School",,Rev. Brother Edward Sebastian,,,,1/2 crore,,0121 264 0838,"jaya10@rediff.com, vijay14@gmail.com","shrirajat@gmail.com, pathademonali@gmail.com","stmarysacademy1952@gmail.com, info@stmarys.academy","info@gitarattan.com, sma@sma.edu.ph","st.marys.19@gmail.com, ksmith@smanet.org","8506003695, tdrees@smanet.org",inatarajan@smanet.org,bbarrett@smanet.org,,,,
"St Thomas School, Dhurwa","Dhurwa, Ranchi, Jharkhand 834004",http://www.stthomasschoolranchi.com/,Jharkhand,"School, CBSE School, ICSE School, IB school",,Rev. Sibu Abraham Mathew,,,,"2.5 crore, 5 crore, 1812 crore, 4 crore",,0651 244 6649,"sarmistha.phd@gmail.com, frpeter@gmail.com, thomas16@gmail.com, samarjit.bsc@gmail.com","ashwin.msc@gmail.com, jyostana14@gmail.com, punamchawande@gmail.com, pranita.phd@gmail.com",principal@stthomasschoolranchi.com,"alextoml155@yahoo.com, stthomasschoolranchi@gmail.com","stthomas_ranchi4@yahoo.co.in, alextoml155@yahoo.com",+91- 8986636649,9431326095,,,,,
St. Agnes College(Autonomous),"Mallikatte, Kadri, Mangalore, Karnataka 575002",http://www.stagnescollege.org/,,School,,Dr Sr M. Venissa A.C,1921,,,,,0824 221 8414,tiyakarajank@gmail.com,principal.dwivedi@gmail.com,office@stagnescollege.edu.in,contact@stagnescollege.edu.in,prasannarai54@gmail.com,rodzare@yahoo.com,support@myeasydocs.com,,,,,
St. Columba's College Hazaribagh,"beside united bank of india, Birua Colony, Hazaribagh, Jharkhand 825303",http://stcchazaribag.org/,,School,,Dr. S. K. Toppo,1899,Vinoba Bhave University,,,,06546 223 227,drgunindra@gmail.com,kumar.msc@gmail.com,info@stcchzb.ac.in,info@scchazaribag.org,,9431799074,9165462232,9165462221,,,,
St. Dominic Savio College,"Sector 5, Indira Nagar, Lucknow, Uttar Pradesh 226016",http://stdominiclko.org/,Uttar Pradesh,ICSE School,,,,,,3 crore,,0522 235 2525,,,op@sdsc.edu.ph,gsipd@sdsc.edu.ph,solaw@sdsc.edu.ph,case@sdsc.edu.ph,nfo@stdominic.com,xxxx@sdsc.edu.ph,"9311110853, 9911220853",,,
St. Edward's School,"Cart Rd, Milsington Estate, Shimla, Himachal Pradesh 171001",http://www.stedwardsshimla.org/,Himachal Pradesh,"School, Kids School, Private School, CBSE School, ICSE School, IB school",,Fr. Anil Wilson Sequeira,9 March 1925,,,"2 crore, 4 crore",,0177 262 4542,"dranjali@gmail.com, dr.sunita@gmail.com, lakhanpal10@rediff.com, sequeira3@gmail.com, lakhanpal7@hotmail.com, simon2@gmail.com, drlizzy@yahoo.com","phd.phillip@gmail.com, verma19@gmail.com, suryabali@gmail.com, srinivasulu.bsc@gmail.com, motwani6@gmail.com, nandita.phd@gmail.com, sharma.msc@gmail.com",contact@stedwardsshimla.org,"communications@stedwards.edu.mt, edwardschoolshimla@gmail.com","seu.admit@stedwards.edu, communications@stedwards.edu.mt",8626911567,finance@st-edwards.poole.sch.uk,,,,,
St. Francis Xavier School,"GA Block, Purbanchal, Phase-I, Sector-III,, Salt Lake City, Kolkata, West Bengal 700097",http://www.stfxonline.com/,"West Bengal, Mizoram","ICSE School, IB school",,Sheela Chopra,1983,,,2.5 crore,,033 2335 0584,"sr.bsc@hotmail.com, susamatripathy@gmail.com","shubhneet19@gmail.com, raheemabdul@gmail.com",info@stfxonline.com,"contact@sfxschool.org.uk, last@sfx-school.org","bverhagen@xaviercatholicschools.org, sfxlancers@yahoo.com",jandree@xaviercatholicschools.org,,,,,,
St. Francis' College,"Shahnajaf Rd, Hazratganj, Lucknow, Uttar Pradesh 226001",http://stfrancislucknow.org/,"Sahaswan, Lucknow","ICSE School, School",,Rev. Fr. Alwyn Moras,"1885, Lucknow",,,,,,"pcjain@gmail.com, aditi1@gmail.com",kanakiamarnath@gmail.com,info@stfranciscollege.edu.in,sfedu@sfit.ac.in,admissions@st-francis.herts.sch.uk,9449260409,8688804939,9136951119,,,,
St. Gabriel's High School,"Fathima Nagar, National Institute of Technology Campus, Kazipet, Telangana 506004",http://www.stgabrielkazipet.com/,Telangana,School,,Rev. Bro. Arun Prakash,,,,4 crore,,0870 243 1764,dr1989@yahoo.com,principal.francis@gmail.com,sghsinfo@gmail.com,,,+91-8978520265,8978520265,,"9678074322, 9678074323",,,
St. George's College,"Barlow Ganj, Mussoorie, Uttarakhand 248122",http://www.sgconline.ac.in/,"Uttrakhand, Uttarakhand","Schools, School, Kids School, Private School, CBSE School, ICSE School, IB school",,Brother Tomy Varghese,1853,Council for the Indian School Certificate Examinations,,"4 crore, 3 crore, 2 crore, 5 crore",,070603 11770,"dr.cheema@rediff.com, subhrojit.msc@gmail.com, s1966@gmail.com, dr.monteiro@gmail.com, sheelachopra@gmail.com, dr.theodore@gmail.com, george1978@hotmail.com, masaher@hotmail.com","kamalshri@gmail.com, madhukargupte@gmail.com, dr.jadhav@gmail.com, pro.shailendra@gmail.com, dr.pandurang@gmail.com, janardan.phd@gmail.com, sujit.msc@gmail.com, varun.bsc@gmail.com","principal@sgconline.ac.in, headmaster@stgeorges.co.zw","secretary@sgconline.ac.in, it@stgeorges.co.zw","accounts@sgconline.ac.in, info@sgs.edu.in","sgcaccounts@gmail.com, informes@stgeorges.edu.ar","headmaster@stgeorges.co.zw, admissions@stgeorgesweybridge.com",it@stgeorges.co.zw,,,,
St. John's Diocesan Girls' Higher Secondary School,"17, Sarat Bose Rd, Rowland Row, Bhowanipore, Kolkata, West Bengal 700020",http://www.stjohndiocesan.in/,West Bengal,School,,Snigdha Gain,1876,"West Bengal Board Of Secondary Education, West Bengal Council of Higher Secondary Education",,1/2 crore,,033 2475 3905,"srgracy.phd@gmail.com, bakleywade@gmail.com","poonampacharne@gmail.com, pro.smt@gmail.com",3905johnsdiocesan@gmail.com,johnsdiocesan@gmail.com,,9133247539,9133245405,,"8756995171, 8756995172, 8756995174",,,
"St. John's. School, D.L.W","P.O, DLW Rd, DLW, Kakarmata, Varanasi, Uttar Pradesh 221004",https://st-johns-school-dlw.business.site/,Uttar Pradesh,Schools,,Fr. Louis Braggs,1963,,,,,0542 227 0668,singh16@gmail.com,ranjit14@gmail.com,principal@stjohnsblw.com,info@domain.com,st.johnsledhupur2007@gmail.com,8765917305,8765917306,8737025391,,,,
"St. Joseph's Academy, Uttarakhand","12, Rajpur Rd, Irigation Colony, Karanpur, Dehradun, Uttarakhand 248001",http://stjosephacademy.in/,"Uttarakhand, Dehradun","IB school, Schools",Co-ED,Rev. Bro. Jeyaseelan S,1934,Council for the Indian School Certificate Examinations,,"4318 crore, 60k",,"0135 271 2071, 9887291922 , 0135 271 2071","mslovleen@rediff.com, ms1979@gmail.com","amol.bsc@gmail.com, principal.smt@gmail.com",sja1934@stjosephacademy.in,contact@stjosephacademy.in,school_office@stjosephacademy.in,,,,,,,
St. Joseph's College,"36, Langford Rd, Bheemanna Garden, Langford Gardens, Bengaluru, Karnataka 560027",http://www.sjc.ac.in/,,School,,Fr. Dr. Victor Lobo SJ,,Bangalore University,,,,080 2221 1429,anantha1984@gmail.com,singh12@gmail.com,desk@sjc.ac.in,college@mail.sjctni.edu,jprstjosephs@stjosephs.ac.in,sjc1884@gmail.com,sjc1884hindi@gmail.com,sjc1884scienceandmaths@gmail.com,,,,
St. Joseph's College,"Lebong Cart Rd, North Point, Darjeeling, West Bengal 734104",http://www.sjcdarjeeling.edu.in/,Sikkim,"Boarding school, Play School",,,,,,"7 crore, 3 crore",,0354 225 2550,,,admission@sjc.ac.in,desk@sjc.ac.in,ecare.stjosephscollege@gmail.com,7676759199,"sjc1884library@gmail.com, sjc1884vacancy@gmail.com","sjc1884sports@gmail.com, sjc1884library@gmail.com",8828912891,,,
St. Joseph's Institute Of Management (JIM),"salai road Near Mahe ground, Woraiyur, Tiruchirappalli, Tamil Nadu 620002",http://www.jim.ac.in/,Tamil Nadu,Schools,,,2007,,,"10 lakh, 10 crore",,0431 422 6481,nirmalraj11@gmail.com,,info@sjim.edu.in,office@sjim.edu.in,admissions@sjim.edu.in,9972252765,9591518855,+91-8300831283,"9771995632, 9914685568",,,
St. Joseph's School North Point,"North Point, Singamari, Darjeeling, West Bengal 734104",http://www.sjcnorthpoint.com/,Suryapet,ICSE School,,,1888,,,,,0354 225 9153,,,sjsnorthpoint@gmail.com,rector@sjcnorthpoint.com,principal@sjcnorthpoint.com,9735384834,9851134829,9674349441,9099902361,,,
"St. Mary's School, Jajpur Road, Odisha","Kanheipur, Byasanagar, Odisha 755019",http://stmarysjajpurroad.com/,Odisha,"School, Private School, ICSE School",,Sr. Maria Rosily,,,,"2.5 crore, 2 crore, 1/2 crore",,06726 220 393,"alexanderdesouza@hotmail.com, nirmal.phd@gmail.com, singh.phd@yahoo.com","agrawalrishi@gmail.com, mohammad.phd@gmail.com, dhanpal19@gmail.com",stmary_jkr@rediffmail.com,jkrstmary@rediffmail.com,head@or043cisce.org,8763116421,9437039380,,,,,
"St. Norbert School, Indore","CAT Road, Siddhipuram Colony, Indore, Madhya Pradesh 453331",http://www.stnorbertschool.ac.in/,Madhya Pradesh,"School, Private School, CBSE School",,Sr. Gracy,July 2001,,,"1/2 crore, 3 crore",,095225 69801,"chaudhary.msc@gmail.com, shirali5@gmail.com, flora1980@rediff.com, kaple.msc@hotmail.com","joshiswati@gmail.com, kusum.msc@gmail.com, principal.vidya@gmail.com, dr.sunil@gmail.com",stnorbertschool@rediffmail.com,info@stnorbertindore.com,queensint@rediffmail.com,919522569801,917583826269,9522569801,,,,
St. Paul's High School,"Bagmali, near Anjanpeer Chowk, Hajipur, Bihar 844101",http://www.stpaulshajipur.com/,Bihar,"School, Private School, ICSE School",,Mr. Vikas Kumar,1999,,,"4 crore, 2.5 crore, 1/2 crore",,088775 99995,"bhattacharyya8@gmail.com, dev1972@hotmail.com, dr.gautam@gmail.com, pontheckan3@rediff.com","kumarsamir@gmail.com, pro.kant@gmail.com, phd.shrivastava@gmail.com, dr.rajan@gmail.com",spshajipur@gmail.com,admin@stpaulshajipur.com,,8877599995,7280003271,9006695211,,,,
St. Paul's High School,"EW Fernandes Rd, Hirekodi, Camp, Belgaum, Karnataka 590009",http://www.sphs.edu.in/,Belgaum,Schools,Co-Ed,Pedro Rodrigues,1856,,,50 k,12 lakh,0831 242 2533,rodrigues.msc@gmail.com,kkd@xlweb.com,stpaulsbgm@gmail.com,,,8312422533,,,,,,
St. Peter's College,"Wazirpura Rd, Kamla Nagar, Sanjay Place, Civil Lines, Agra, Uttar Pradesh 282002",http://stpetersagra.org/,"Uttar Pradesh, Shikohabad, Sahaswan, Hathras, Banda, Ayodhya Map, Ayodhya Cantt, Agra , Agra","Schools, School, Private School, ICSE School, Kids School, Play School, CBSE School, IB school",,Rev. Fr. Andrew Correia (2019–),1846,,,"1/2 crore, 4 crore, 5 crore",,0562 285 2376,"pandey14@yahoo.com, drmathew@yahoo.com, thomas5@gmail.com, lukedavid@hotmail.com, mehrotra6@rediff.com, er.anshu@gmail.com, singh1973@gmail.com, meenakshi.msc@yahoo.com, mahapatra.phd@gmail.com, vishwanathan.bsc@yahoo.com, kant.bsc@gmail.com, somanchi.msc@gmail.com, vijay8@yahoo.com, rawat.msc@hotmail.com, col1970@gmail.com, dr.thomas@rediff.com, r1987@hotmail.com, er.archana@rediff.com, mukherjeeshobhna@yahoo.com, shikha1985@gmail.com, nigam.phd@gmail.com, dr.shobhna@gmail.com, poornima18@gmail.com, rekha.phd@yahoo.com, gambhir7@rediff.com","dr.singh@gmail.com, dr.akhilesh@gmail.com, pro.madhukar@gmail.com, dr.kishore@gmail.com, neha.bsc@gmail.com, mahajanvishwanath@gmail.com, balaji19@gmail.com, dr.yogesh@gmail.com, balasahebmane@gmail.com, manemanoj@gmail.com, dr.mohanrao@gmail.com, maratkarsachin@gmail.com, shrishrawan@gmail.com","officecra@stpeters.vic.edu.au, contact@stpetersagra.org","principal@spcet.ac.in, officecra@stpeters.vic.edu.au, contact@stpetersschools.org","ffice@stpeterscollege.ie, officecra@stpeters.vic.edu.au, principal@spcet.ac.in","intadmission@saintpeters.edu, 7991727228","admin@st-peters.school.nz, contact@stpetersschools.org, intadmission@saintpeters.edu, ffice@stpeterscollege.ie","office@stpeterspn.school.nz, intadmission@saintpeters.edu, contact@stpetersschools.org",,,,
"St. Xavier's College, Jaipur","Hathroi Fort, Road, Gopalbari, Jaipur, Rajasthan 302001",http://stxaviersjaipur.org/,,School,,Dr Sheila Rai,"July 2010, Jaipur",,,,,0141 237 0296,er.benjamin@gmail.com,vijesh.phd@gmail.com,accounts@stxaviersjaipur.org,admission@stxaviersjaipur.org,info@stxaviersjaipur.org,9828726366,9571077348,9680791955,,,,
"St. Xavier's School, Burdwan","St Xaviers School Road, Bara Nilpur, Kanainatshal P, West Bengal 713103",http://www.sxs-bwn.org/,West Bengal,"School, Kids School, CBSE School, ICSE School",,Father Maria Joseph,,,,"3 crore, 2.5 crore, 4 crore",,0342 264 4882,"er.stella@gmail.com, jain.bsc@hotmail.com, tyagi6@rediff.com, padma.phd@gmail.com","shanti.bsc@gmail.com, neetapotdar@gmail.com, rashmishelar@gmail.com, momin.phd@gmail.com",sxsbwn@gmail.com,,,8250961832,7318761888,+91-8250961832,,,,
St.Aloysius College Campus,"Hampankatta, Mangalore, Karnataka 575003",http://staloysiuscollege.co.in/about/college-profile,Karnataka,Private School,,Praveen Martis,,,,3 crore,,0824 244 9700,er.dinesh@hotmail.com,dr.pushpa@gmail.com,aloysius.principal@gmail.com,staloysiuscollege1951@gmail.com,principal_sac@yahoo.com,principal@staloysius.edu.in,,,,,,
St.George's College,"3 Garden Road Baluganj, Agra Cantt, Agra, Uttar Pradesh 282001",http://stgeorgesagra.com/,Uttar Pradesh,ICSE School,,,1875,,,2 crore,,0562 325 0423,,,headmaster@stgeorges.co.zw,it@stgeorges.co.zw,jane_d@st-georges-college.co.uk,j_doe@st-georges,secretaria.college.quilmes@stgeorges.edu.ar,informes@stgeorges.edu.ar,,,,
St.Joseph's College Prayagraj,Rev. Fr. Thomas Kumar,http://www.sjcallahabad.org/,"Uttar Pradesh, Madhya Pradesh, Ayodhya Cantt","Schools, School, ICSE School",,Rev. Fr. Thomas Kumar,1884,,,"3 crore, 1/2 crore",,0532 655 0009,"agrawal5@gmail.com, kartha.phd@gmail.com, dr.subuhi@hotmail.com, sehdeva.msc@rediff.com, manoj.msc@gmail.com","lal.bsc@gmail.com, phd.pandey@gmail.com, kaushik8@gmail.com, smitakasture@gmail.com, vandanasathe@gmail.com",stjosephsgirlscollegeprayagraj@gmail.com,sjc1884@gmail.com,sjc1884hindi@gmail.com,8960001691,8960001690,8960001694,,,,
St.Thomas College,"2, Cross Rd, Darshan Lal Chowk, Race Course, Dehradun, Uttarakhand 248001",http://www.stthomascollege.in/,"Uttrakhand, Uttarakhand","Schools, School",Co-ED,R. V. Gardner,"1916, Dehradun",Council for the Indian School Certificate Examinations,,2.5 crore,,0135 265 4374,craigdr@gmail.com,pro.shri@gmail.com,principal@stthomas.ac.in,ce@stthomas.ac.in,admissions@stthomas.ac.in,"9207420442, 9495355673",8891630158,8891630159,,,,
"St.Thomas College, Pala","Arunapuram, Pala, Kerala 686574",http://stcp.ac.in/,Alappuzha,Play School,,Rev. Dr.James Mangalathu,,,,,,04822 212 317,das1966@gmail.com,,principal@stcp.ac.in,ordetta@gmail.com,davischandrenkunnel@gmail,9947308652,9833454299,johnsnaduvath@gmail.com,,,,
St.Xavier's High School,"West, Gandhi Maidan Rd, West Gandhi Maidan, Raja Ji Salai, Lodipur, Patna, Bihar 800001",http://stxavierspatna.in/,Bihar,IB school,,,17 January 1940,,,2 crore,,0612 221 9563,,,attendance@stxavier,contact@stxaviersfort.org,aabell@saintx.com,9631794959,9451035047,8738023778,,,,
St.Xavier's SchooL,"Model Town Road, Model Town Phase 2, Model Town, Bathinda, Punjab 151001",http://www.xavierbathinda.com/,Punjab,"School, CBSE School",,Father Cidloy Furtado,,,,"1/2 crore, 3186 crore",,0164 221 1800,"bhatia.bsc@rediff.com, lauensteinphuntsok@rediff.com","bankarvitthal@gmail.com, dr.baravkar@gmail.com",stxavier@del2.vsnl.net.in,"contact@stxaviersdelhi.com, contact@stxaviersdelhi",shahbadxavier@rediffmail.com,"9451035047, 9311894559","8738023778, 9451035047",8738023778,,,,
St.Xavier's School,"Sector 3, Bokaro Steel City, Jharkhand 827003",http://www.stxaviersschool.com/,Suryapet,ICSE School,,Fr. Peter James SJ,,,,,,,pinto.bsc@gmail.com,jadhavsuhas@gmail.com,contact@stxaviersdelhi,stxavier@del2.vsnl.net.in,kids@stxaviersworldschool.com,9451035047,8738023778,,9513361635,,,
State Council of Educational Research and Training,"Opp: L.B Stadium, E-Gate, Hyderabad, Telangana 500001",http://scert.telangana.gov.in/,Telangana,School,,,,,,3572 crore,,040 2324 3191,,,sumona.roy@gov.in,scertkerala@gmail.com,scertlibtvpm@gmail.com,9412951873,9412007083,9897144193,+91-9040434795,,,
Stella Maris Boarding School,"Kuliramutty Road, Koodaranhi, Kozhikode, Kerala 673604",http://www.stellamaris.in/,Kerala,International School,,,,,,11 lakh,,0495 225 5151,amit1976@rediff.com,,stellamarisboardingschool@gmail.com,admission@stellamaris.in,stellamaris-dj@yahoo.co.in,9446823952,9142694299,,,,,
Stewart School,"Mission Road, Buxi Bazar Rd, Cuttack, Odisha 753001",http://stewartschoolctc.in/,Odisha,"School, Private School, ICSE School",,F. C. North,,,,"4 crore, 3 crore, 5 crore",,0671 241 5808,"joydeep@gmail.com, s1974@gmail.com, geetikasethi@rediff.com","agrawal11@gmail.com, abhay19@gmail.com, arte.phd@gmail.com",stewartschool@gmail.com,principal@stewartschoolctc.in,stewartbbsr@gmail.com,8480743569,8093164820,school@stewartscare.ie,,,,
Suchitra Academy International School,"Suchitra Junction, Qutubullapur Mandal, Hyderabad, Telangana 500067",http://www.suchitra.in/,Telangana,CBSE School,,,,,,3 crore,,091773 99900,,,admissions@suchitra.in,accounts@suchitra.in,info@suchitra.in,careers@suchitra.in,hr@suchitra.in,jane.doe@suchitra.in,"9566843109, 9994609861, 9600989081",,,
Sumitra Modern School Sitapur,"SUMITRA MODERN SCHOOL , NEPALAPUR, LAKHIMPUR ROAD, SH 21, Uttar Pradesh 261001",http://sumitraschools.com/,Sitapur,Kids School,,,,,,10 lakh,,05862 220 616 ext. 246379,,,kevindacosta01@gmail.com,infosumitramodern@gmail.com,sumitra.modern@yahoo.com,9415157631,9956616613,9519722224,9953333391,,,
Sunbeam College for Women,"210,Bhagwanpur, Lanka, Varanasi, Uttar Pradesh 221005",http://www.sunbeamcollege.com/,,School,,Vibha Srivastava,1 July 2000,Mahatma Gandhi Kashi Vidyapith,,,,0542 236 6488,sunita.bsc@gmail.com,principal.kamal@gmail.com,heramb2007@gmail.com,,,9721452109,9696186592,8765606233,,,,
Sunbeam Schools,"Kalpudur, Mettukulam, Katpadi - Chittoor Road, Vellore, 632059",http://sunbeamschool.org/,Tamil Nadu,Schools,,,,,,12 lakh,,0416 229 5242,neeta.bsc@gmail.com,,lht@sunbeamschools.com,lhthostel@snbeamschools.com,sunbeamvellore@yahoo.co.in,9721452700,9721452403,919838075637,,,,
Surendrenath Centenary School,"Hazaribag Rd, Deepatoli, Ayodhya Enclave, Ranchi, Jharkhand 834009",http://www.scsranchi.com/,Jharkhand,"School, CBSE School",,Mrs. Samita Sinha,1988,Central Board of Secondary Education,,"2.5 crore, 3 crore",,,"kumarsantosh@rediff.com, jacob20@hotmail.com, facebookcom@gmail.com","khan.bsc@gmail.com, deep.bsc@gmail.com, dr.saket@gmail.com","surendra@dte.vsnl.net.in, surendranathranchi@gmail.com","surendranathranchi@gmail.com, info@scsranchi.com","info@scsranchi.com, surendra@dte.vsnl.net.in",9430113676,samita_sinha2k5@yahoo.com,,,,,
Swami Nigamananda Public School(CBSE) Joypur Branch.,"Joypur, Katul, West Bengal 722138",http://www.nigampublicschool.org/,West Bengal,CBSE School,,,,,,4 crore,,089726 33460,,,snpsjoypur@gmail.com,nigamanandaswami@gmail.com,asim.aranyak@gmail.com,8105422220,8670433531,8695297821,"8929000497, 8750783999",,,
Swarnandhra International School,"Palakol-Narsapur Rd, Navarasapuram, Andhra Pradesh 534275",http://www.swarnandra.edu.in/,Andhra Pradesh,International School,,,,,,10 lakh,,079817 74654,rehan5@rediff.com,,info@swarnandra.edu.in,principal.swrn@gmail.com,info@swarnandra.edu,9491006633,7981774654,,,,,
Symbiosis International School,"Gate No. 3, Symbiosis Viman Nagar Campus Off New Airport Road, Viman Nagar Rd, Viman Nagar, Pune, Maharashtra 411014",http://sis.ac.in/,"Maharashtra, Gujarat, Alibag , Ahmednagar ","School, Private School, IB school, International School",,Narendra Kumar Ojha,2005,,,"2 crore, 4 crore, 2.5 crore",,020 2650 1107,"kumar12@gmail.com, arsud1974@gmail.com, santa14@gmail.com, a1968@hotmail.com, pourushasp9@gmail.com, satapathy7@gmail.com, er.math@rediff.com","sapana6@gmail.com, principal.dilip@gmail.com, archana12@gmail.com, mane17@gmail.com, borkarvasant@gmail.com","sisaccount@sis.ac.in, senco@sis.ac.in, sis@symbiosis.ac.in, pypcoordinator@sis.ac.in","transport@sis.ac.in, sisaccount@sis.ac.in, patodirector@sis.ac.in, eyp@sis.ac.in","chancellor@siu.edu.in, viceprincipal@sis.ac.in, senco@sis.ac.in","+91-9049560755, +91-9767711500, sisaccount@sis.ac.in","+91-9049560755, 9021688975, chancellor@siu.edu.in","9021698659, admissions@misp.org",,,,
Synod Foundation Eng. Med. School,"PO & PS, Lefunga Rd, Agartala, Tripura 799210",http://sfems.in/,Tripura,CBSE School,,,,,,1/2 crore,,0381 286 5560,,,synodschool@gmail.com,synodschool@gmail,ktkuki76@gmail.com,8837084258,9856915022,9089602615,8989238030,,,
