School Name,Address,Pincode,Website,City,Category,Gender,Principal,Founded,Affiliation,Strength,Website,Fees,Revenue,Mobile/Contact Number,Principal/Heigher Mgm. Emails,Emails,Other Higher Mgm. Email,Other Email,Other Email.1,Contact number,Contact number.1,Contact number.2,Merged_Unnamed
National College of Education (Office),"Regd. Office: National English School, VIP Road, Baguiati, Kolkata, West Bengal 700059",700059.0,http://www.neschool.org/,West Bengal,IB school,,,,,,,4058 crore,,033 2570 1448,,,info@nationaleducation.college,nationalcollege09@gmail.com,ruwanpura@rncoe.lk,+91-9010333365,9176993738,8531077777,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
IIFT Kolkata,"1583, Chowbaga Canal Side Rd, Madurdaha, Chowbaga, Kolkata, West Bengal 700100",700100.0,http://iiftkolkatareflections.com/,West Bengal,IB school,,,,,,,3 crore,,,,,soadmission@iift.ac.in,soresearch@iift.ac.in,sokol@iift.ac.in,soiccd@iift.ac.in,admissions@iift.ac.in,headmdp@iift.edu,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Utkarsh Bangla (Sonamui),"Sonamui, West Bengal 721146",721146.0,http://www.pbssd.gov.in/,West Bengal,IB school,,,,,,,5 crore,,,,,bdogopi2@gmail.com,shgsejhargram@gmail.com,bdogorubathan2019@gmail.com,9083265134,9083265133,9830057338,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
St. Xavier's College,"8, Rafi Ahmed Kidwai Rd, Esplanade, Dharmatala, Taltala, Kolkata, West Bengal 700013",700013.0,http://www.sxccal.edu/,West Bengal,IB school,,,,,,,2 crore,,Latin,,,librarian@sxccal.edu,principal@sxccal.edu,online.admission@xaviers.edu,9828726366,9571077348,+91-7447762356,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Utkarsh Bangla Training Center (PBSSD),"693, Madhusudan Banerjee Rd, Sukantapally, Shibachal, Birati, Kolkata, West Bengal 700051",700051.0,http://www.pbssd.gov.in/,West Bengal,IB school,,,,,,,4059 crore,,070597 36814,,,ocpbssdkalimpong@gmail.com,pbssd.dcawb@gmail.com,bhattacharya.arnab@hotmail.com,9093681508,9831145633,9434132339,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
IB GROUP BRANCH OFFICE (BARUIPUR),"Unnamed Road, West Bengal 700144",700144.0,http://www.ibgroup.co.in/,West Bengal,IB school,,,,,,,4 crore,,074320 68738,,,mail@ibgroup.co.in,feedsales@ibgroup.co.in,poultrysales@ibgroup.co.in,indmail@indianbank.co.in,customercomplaints@indianbank.co.in,abisdairy@ibgroup.co.in,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
BPL Medical Technologies,"687, IB Rd, Sector I, East Kolkata Twp, Kolkata, West Bengal 700107",700107.0,http://www.bplmedicaltechnologies.com/,West Bengal,IB school,,,,,,,5 crore,,,,,sales.medical@bpl.in,centre.hcbg@bpl.in,jane.doe@bplmedicaltechnologies.com,cs@bpl.in,jane_d@bplmedicaltechnologies.com,doe@bplmedicaltechnologies.com,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
National Investigation Agency,"IB-163, IB Block, Sector III, Bidhannagar, Kolkata, West Bengal 700106",700106.0,http://www.nia.gov.in/headquarters.htm#kolkata,West Bengal,IB school,,,,,,,3 crore,,033 2335 6736,,,sudar.nia@gov.in,info.blr.nia@gov.in,santoshrastogi.nia@gov,8022380100,8687037205,,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Barasat,"Saraswati Rd, Santacruz West, Mumbai, Maharashtra 400054",400054.0,http://www.podarinternationalschool.com/,West Bengal,IB school,,,,,,,2.5 crore,,022 2600 1311,,,bigmhschool@hotmail.com,spnorth24parganas@gmail.com,barasatcollege72@yahoo.com,9674986242,9674986243,,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
KIIT International School,"KIIT campus 9, Bhubaneswar, Odisha 751024",751024.0,http://kiit-is.org/,West Bengal,IB school,,,,,,,4 crore,,0674 272 5805,,,kiit@kiit.ac.in,admission@kiit.ac.in,,8114373311,8114373312,8114373313,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Kalinga Institute of Industrial Technology,"KIIT Road, Patia, Bhubaneswar, Odisha 751024",751024.0,https://kiit.ac.in/,West Bengal,IB school,,,,,,,3 crore,,0674 272 5113,,,kiit@kiit.ac.in,admission@kiit.ac.in,,8114373311,8114373312,8114373313,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
"Public Service Commission, West Bengal","161-A, Shyamaprasad Mukherjee Rd, Mudiali, Kalighat, Kolkata, West Bengal 700026",700026.0,https://www.pscwbonline.gov.in/,West Bengal,IB school,,,,,,,2 crore,,033 2419 8187,,,pscwbit01@gmail.com,pscwbhelp@gmail.com,,9674107555,9836219994,9836289994,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Vision International School,"56, TN Mukerjee Rd, Charaktala, Makhla, Uttarpara, West Bengal 712245",712245.0,http://www.visioninternationalschool.net/,West Bengal,International School,,,,,,,4 crore,,,,,office@visioninternationalschool.net,student@visioninternational.net,admissions@vis.qa,9836988668,9874574342,7507042035,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Gopal Gurukul International School,"Bhatenda Rajarhat, near Rajarhat Bazar, Kolkata, West Bengal 700135",700135.0,https://www.ggisrajarhat.org/,West Bengal,International School,,,,,,,4 crore,,,,,grajasree.ghosh2008@gmail.com,info.gurukulinternational@gmail.com,gurukul.international@rediffmail.com,8583931778,8979900361,8979900362,"9143124573, 9143124555, 9853374444, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
International Public School,"Jessore Rd, Sukanta Nagar, Michael Nagar, Madhyamgram, Kolkata, West Bengal 700133",700133.0,http://ipskol.com/,West Bengal,International School,,,,,,,5 crore,,033 2567 6329,,,ipskol@gmail.com,nipskol@gmail.com,,9088850002,9088850003,9830200039,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Eurokids International,"Chotokhejuria, GT Road, Bandel, West Bengal 721121",721121.0,http://www.eurokidsindia.com/,West Bengal,International School,,,,,,,1/2 crore,,,,,marketing@eurokidsindia.com,hello@eurokidsindia.com,last@eurokidsindia.com,john@eurokidsindia.com,john.doe@eurokidsindia.com,companysecretary@eurokidsindia.com,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
"International Management Institute, Kolkata","2/4 C, Judges Ct Rd, Alipore, Kolkata, West Bengal 700027",700027.0,http://admissions.imi-k.edu.in/,West Bengal,International School,,,,,,,2 crore,,033 6652 9600,,,info@imi-k.edu.in,dg@imi.edu,deangp@imi.edu,9133665296,xxxx@imi-k.edu.in,,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Chatterjee National School,"Birnagar, Uttar Para, West Bengal 741127",741127.0,http://www.chatterjeenationalschool.com/,West Bengal,International School,,,,,,,2.5 crore,,070440 76005,,,cnsbprincipal@gmail.com,info@chatterjeenationalschool.com,chatterjeenationalschool@gmail.com,+91-9836831662,9064792605,,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
"Sanfort Kalimpong, West Bengal","Ram Kunj Bhawan, Near Rockvale Academy 9th Mile, Kalimpong, West Bengal 734001",734001.0,http://www.sanfortschools.com/,West Bengal,International School,,,,,,,4066 crore,,089678 01661,,,jammumf@sanfortschools.com,maharashtra@sanfortschools.com,ro.rajasthan@sanfortschools.com,919434878580,919832094936,+91 - 8010405081,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
EuroKids Pre-School,"Kandi, School Road, PO- Kandi, (Near Dindayamayee Decorator), Kandi, West Bengal 742137",742137.0,http://www.eurokidsindia.com/,West Bengal,International School,,,,,,,3 crore,,095937 95995,,,hello@eurokidsindia.com,eurokidsmalviyanagar@gmail.com,jane-d@eurokidsindia.com,918447343346,9111403639,,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Narayana School,"New Shibrampur Main Road, Parui Mauza, Kolkata, West Bengal 700141",700141.0,http://www.narayanaschools.in/,West Bengal,International School,,,,,,,5 crore,,081002 78324,,,abhaykumars@narayanagroup.com,info@narayanagroup.com,janed@narayanagroup.com,+91-9111145237,9716020971,,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
ISHM Universal Campus,"Salt Lake Electronics Complex, 38/5, GN Block, Sector V, Bidhannagar, Kolkata, West Bengal 700091",700091.0,https://www.ishm.co.in/,West Bengal,International School,,,,,,,4 crore,,090070 70004,,,admission@ishm.co.in,hr@ishm.co.in,,9007070004,8100881009,7303157001,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Modi Public School,"Phathargata Road, Matigara, Siliguri, West Bengal 734010",734010.0,http://www.mpssiliguri.com/,West Bengal,International School,,,,,,,1/2 crore,,095647 77747,,,dmps@del3.vsnl.net.in,vivekchaturvedi2007@rediffmail.com,mps_kota@yahoo.com,9451354860,9455382101,,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
"Delhi Public School,GBN, Sector 132, NOIDA","B - 1, Noida-Greater Noida Expy, B Block, Block A, Sector 132, Noida, Uttar Pradesh 201301",201301.0,http://www.dps-gbn.org/,Washim ,DPS School,,,,,,,,,0120 712 2031,,,admissions@dps-gbn.org,info@dps-gbn,info@dps-gbn.org,7042597119,9654466666,9999999484,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
R. A. College,"Kata Rd, Washim, Maharashtra 444505",444505.0,https://www.rac.ac.in/,Washim ,English Medium School,,,,,,,,,072522 35662,,,gdwadankar@gmail.com,jaya.somatkar@gmail.com,brasc_abd@yahoo.com,9421793167,9049143941,9825012984,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Adarsh English School,"Godbole Plots, Dabki Rd, Renuka Nagar, Akola, Maharashtra 444002",444002.0,http://adarshenglishschool.com/,Washim ,English Medium School,,,,,,,,,098506 16849,,,adarsh.engschool@gmail.com,info@apskarnal.com,avm.adarshenglishschool@gmail.com,9890011991,9323979617,919167457251,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Vision School,"Azad Nagar, Vyankatesh Nagar, Shegaon, Maharashtra 444203",444203.0,https://visionenglishschool.com/,Washim ,English Medium School,,,,,,,,,096574 51613,,,office@visioninternationalschool.net,info@visionacademy,connect@dpsghatkesar.org.in,9836988668,9874574342,9866060262,"ms.tanscst@nic.in, tamilnaducouncil@gmail.com, apsche2003@yahoo.co.in, apsche@ap.nic.in, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Greenwood High School Day scholar,"23-6-144, 1, Hunter Rd, Ramannapet, Warangal, Telangana 506002",506002.0,http://greenwoodschools.ac.in/,Warangal ,Kids School,,,,,,,,,098665 14516,,,admissions.intl@green,admissions@greenwoo,admissions.bgt@greenwo,7829917668,9866514516,9866514513,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Lotus school,"Gowthami Nagar Opp: Koti Cheruvu, Telangana 506011",506011.0,http://lotusschool.in/,Warangal ,Kids School,,,,,,,,,0870 658 9469,,,principal@lotusvalleygurgaon.com,info@lotusvalleygurgaon.com,vp@lotusvalleygurgaon.com,9650544997,9910220942,bwilliams@lotusschool.org,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
NIIT Warangal Centre,"2nd Floor, Thirumala Mall, Warangal-Huzurabad Rd, Opposite Police Head Quarters, Kishanpura, Hanamkonda, Telangana 506001",506001.0,http://www.niit.com/,Warangal ,Kids School,,,,,,,,,092480 01144,,,acad_ugseat@nitw.ac.in,acad_pgseat@nitw.ac.in,acad_phdseat@nitw.ac.in,9861126947,8897064421,xxxx@student.nitw.ac.in,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Kidzee Pre-School And Day Care,"H.No 2-7-406, Excise Colony, Near Vorous Fresh, Hanamkonda, Hanamkonda, Telangana 506001",506001.0,http://www.kidzee.com/,Warangal ,Kids School,,,,,,,,,070931 17482,,,kidzeehnk3668@gmail.com,mmquickerala@gmail.com,admissions@kidzee.com,7093117482,8287420333,9717995235,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Lead India - Sri Chaitanya CBSE School,"House No: 23-6, 203/5, Hunter Rd, Dwaraka Nagar, Shyampet, Hanamkonda, Telangana 506001",506001.0,http://www.leadindiaschool.com/,Warangal ,English Medium School,,,,,,,,,070953 77755,,,srichaitanyacbse.in@gmail.com,challaraghu4srv@gmail.com,suncitycbse@srichaitanyaschool.net,7095277755,7095377755,9866101718,"9000697616, 9849007882, 8919416185, 7013311664, 9177411457, 9985707773, 9346203948, 9989853684, 9985888075, 7032813071, 9849218666, 8019352199, 8019991515, 7729956896, 8977738071, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Talla Padmavathi Colleges,"Khammam Bypass Road Orus Kareemabad, Urus Bodrai, Warangal, Telangana 506012",506012.0,,Warangal ,English Medium School,,,1997,,,,,,0870 243 4057,,,principal.tpce@gmail.com,principal@tallapadmavathipharma.com,pharmacyvenkat@gmail.com,7032815912,919849945165,9849945165,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Kakatiya E-Techno School,"beside HDFC Bank, Shivanagar, Jammikunta, Telangana 505122",505122.0,http://www.kakatiyainstitutions.com/,Warangal ,English Medium School,,,,,,,,,087272 54309,,,co_info@kakatiyatechnoschools.com,kakatiyaadb@gmail.com,principalkts.rmpr@gmail.com,8498088737,919391891044,919346967878,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
St John's High School,"Malkapur Rd, Bhagyanagar Colony, Chaitanyapuri, Karimnagar, Telangana 505001",505001.0,http://www.stjohnskarimnagar.com/,Warangal ,English Medium School,,,,,,,,,0878 225 6367,,,jsmith@stjohnshigh.org,alumni@stjohnshigh.org,webmaster@stjohnshigh.org,stjohns_hs@bsnl.in,office@stjohnshighschool.edu.in,johnsdiocesan@gmail.com,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Greenwood High School Warangal,"GREENWOOD HIGH SCHOOL Ramanna per, Hunter Rd, Warangal, Telangana 506002",506002.0,http://greenwoodschools.ac.in/,Warangal ,SSC School,,,,,,,,,098665 14516,,,principal_main@greenwood.co.in,rabbani@greenwoodwgl.com,admissions@greenwoo,9866514515,9866514516,8702564267,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Mahendra Educational Private Limited,"301-304, 3RD FLOOR, BLOCK-C, KANDA KATLA COMPLEX ABOVE RELIANCE DIGITAL, (KAKATIYA UNIVERSITY CROSS ROAD)HANAMKONDA, near KU-X _ROAD, Warangal, Telangana 506009",506009.0,http://www.mahendras.org/,Warangal ,SSC School,,,,,,,,,081422 30661,,,info@mahendras.org,head.accounts@mahendras.org,jane.doe@mahendras.org,7052477777,7052577777,9212069515,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Kareemabad,"near Ambedkar Statue, West Hanuman Nagar, Boduppal, Hyderabad, Telangana 500092",500092.0,https://www.pallavimodelschools.org/boduppal,Warangal,Private School,,Mrs. Tanuja,,,,,,,076600 02469,shikha.msc@rediff.com,vijayrao19@gmail.com,contactcentre@sbi.co.in,sbi.22078@sbi.co.in,commissionergwmc-ts@gov.in,,,,"9122487727, 7718888777, 7718804419, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Vignana Bharathi Institute of Technology,"Aushapur, Ghatkesar, near HPCL, Hyderabad, Telangana 501301",501301.0,http://vbithyd.ac.in/,Warangal,Private School,,Mr G. Amarender Rao,,,,,,,079934 53628,er.pinto@gmail.com,nileshdusane@gmail.com,principal@vbithyd.ac.in,info@vbit.edu.in,,7993453633,,,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Gitanjali Primary School,"Brahmanwadi, Begumpet, beside Varun Motors, Hyderabad, Telangana 500016",500016.0,http://www.gitanjalischools.com/,Warangal,ICSE School,,Mrs. Maya Sukumaran,"June 1990, Hyderabad",,,,,,040 2776 8420,sreekumar11@gmail.com,prakash.phd@gmail.com,info@gitanjalischools.com,,,8886696467,,,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Birla Open Minds International School - Warangal,"Hunter Rd, behind Ganapathy Engineering College, Bypass, Warangal, Telangana 506005",506005.0,http://www.birlaopenmindswarangal.com/,Warangal,Private School,,,,,,,10 lakh,,099088 29988,,,alwal@timekidspreschools.com,asraonagar@timekidspreschools.com,bachupally@timekidspreschools.com,8978957676,7331109060,8886717890,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
"Platinum Jubilee High School, Warangal","16-8-19, 1, Narsampet Rd, Abbanikunta, Labour Colony, Warangal, Telangana 506002",506002.0,http://www.agakhanschools.org/India/PJHSW/Index,Warangal,Private School,,,,,,,5 lakh,,0870 242 1819,,,elis.m6250@gmail.com,vijayawada@gurukul.org,mysore@gurukul.org,919916720651,9845795000,8181995111,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Sparkrill International School | CBSC,"Ananthasagar Hasanparthy Mandal, Telangana 506371",506371.0,http://sparkrillintl.ac.in/,Warangal,Private School,,,,,,,5 lakh,,,,,info@jhpublicschool.com,office@jhpublicschool.com,transport@jhpublicschool.com,9849991598,9849991167,8179117374,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Srinivasa Ramanujan Concept School,"Unikicherla,Dharmasagaram, Hanamkonda, Telangana",,http://www.srhshnk.com/,Warangal,Private School,,,,,,,5 lakh,,092468 95248,,,info@edify.in,principal@edifyschooldehradun.com,principal@edifyschoolbengaluru.com,admin@edifyschoolbengaluru.com,principal@ewsattapur.com,principal@ewsfirozabad.com,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
SR High School,"Mattewada, Phatak Mohalla, Sherpura, Warangal, Telangana 506002",506002.0,http://www.srdigischool.com/,Warangal,Private School,,,,,,,9 lakh,,0870 645 2677,,,sreeganti2003@yahoo.co.in,bvbpsjh@redimail.com,bvbpsjh@rediffmail.com,9490167999,bvbarrshyd@gmail.com,,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
